release_group,worldwide,domestic,domestic_percent,foreign,foreign_percent,year
Mission: Impossible II,546388108.0,215409889.0,0.39399999999999996,330978219.0,0.606,2000
Gladiator,460583960.0,187705427.0,0.408,272878533.0,0.5920000000000001,2000
Cast Away,429632142.0,233632142.0,0.544,196000000.0,0.456,2000
What Women Want,374111707.0,182811707.0,0.489,191300000.0,0.511,2000
Dinosaur,349822765.0,137748063.0,0.39399999999999996,212074702.0,0.606,2000
How the Grinch Stole Christmas,345842198.0,260745620.0,0.754,85096578.0,0.24600000000000002,2000
Meet the Parents,330444045.0,166244045.0,0.503,164200000.0,0.49700000000000005,2000
The Perfect Storm,328718434.0,182618434.0,0.556,146100000.0,0.444,2000
X0Men,296339528.0,157299718.0,0.531,139039810.0,0.469,2000
What Lies Beneath,291420351.0,155464351.0,0.5329999999999999,135956000.0,0.467,2000
Scary Movie,278019771.0,157019771.0,0.565,121000000.0,0.435,2000
Charlie's Angels,264105545.0,125305545.0,0.474,138800000.0,0.526,2000
Erin Brockovich,256271286.0,125595205.0,0.49,130676081.0,0.51,2000
Unbreakable,248118121.0,95011339.0,0.38299999999999995,153106782.0,0.617,2000
Gone in 60 Seconds,237202299.0,101648571.0,0.429,135553728.0,0.5710000000000001,2000
Chicken Run,224834564.0,106834564.0,0.475,118000000.0,0.525,2000
Vertical Limit,215663859.0,69243859.0,0.321,146420000.0,0.679,2000
The Patriot,215294342.0,113330342.0,0.526,101964000.0,0.474,2000
"Crouching Tiger, Hidden Dragon",213525736.0,128078872.0,0.6,85446864.0,0.4,2000
Miss Congeniality,212742720.0,106807667.0,0.502,105935053.0,0.498,2000
Traffic,207515725.0,124115725.0,0.598,83400000.0,0.402,2000
Hollow Man,190213455.0,73209340.0,0.385,117004115.0,0.615,2000
102 Dalmatians,183611771.0,66957026.0,0.365,116654745.0,0.635,2000
Big Momma's House,173959438.0,117559438.0,0.6759999999999999,56400000.0,0.324,2000
The Emperor's New Groove,169327687.0,89302687.0,0.527,80025000.0,0.473,2000
Nutty Professor II: The Klumps,166339890.0,123309890.0,0.741,43030000.0,0.259,2000
Scream 3,161834276.0,89143175.0,0.551,72691101.0,0.449,2000
Chocolat,152699946.0,71509363.0,0.46799999999999997,81190583.0,0.532,2000
"Me, Myself & Irene",149270999.0,90570999.0,0.607,58700000.0,0.39299999999999996,2000
The Beach,144056873.0,39785027.0,0.276,104271846.0,0.7240000000000001,2000
Remember the Titans,136706683.0,115654751.0,0.846,21051932.0,0.154,2000
Pokémon the Movie 2000,133949270.0,43758684.0,0.327,90190586.0,0.6729999999999999,2000
Space Cowboys,128884132.0,90464773.0,0.7020000000000001,38419359.0,0.298,2000
U0571,127666415.0,77122415.0,0.604,50544000.0,0.396,2000
The Family Man,124745083.0,75793305.0,0.608,48951778.0,0.392,2000
Road Trip,119754278.0,68540777.0,0.5720000000000001,51213501.0,0.428,2000
Coyote Ugly,113916474.0,60786269.0,0.534,53130205.0,0.466,2000
Final Destination,112880294.0,53331147.0,0.47200000000000003,59549147.0,0.528,2000
The Exorcist 2000 Director's Cut,112053066.0,39671011.0,0.354,72382055.0,0.6459999999999999,2000
Mission to Mars,110983407.0,60883407.0,0.5489999999999999,50100000.0,0.451,2000
The Kid,110317580.0,69691949.0,0.632,40625631.0,0.368,2000
Billy Elliot,109280263.0,21995263.0,0.201,87285000.0,0.799,2000
Shaft,107196498.0,70334258.0,0.6559999999999999,36862240.0,0.344,2000
The Whole Nine Yards,106371651.0,57262492.0,0.5379999999999999,49109159.0,0.462,2000
The Cell,104155843.0,61334059.0,0.589,42821784.0,0.41100000000000003,2000
Rugrats in Paris,103291131.0,76507756.0,0.741,26783375.0,0.259,2000
Shanghai Noon,99274467.0,56937502.0,0.574,42336965.0,0.426,2000
The Tigger Movie,96159800.0,45554533.0,0.474,50605267.0,0.526,2000
The 6th Day,96085477.0,34604280.0,0.36,61481197.0,0.64,2000
Romeo Must Die,91036760.0,55973336.0,0.615,35063424.0,0.385,2000
Fantasia 2000,90874570.0,60655420.0,0.667,30219150.0,0.33299999999999996,2000
Autumn in New York,90726668.0,37761915.0,0.41600000000000004,52964753.0,0.584,2000
Bring It On,90449929.0,68379000.0,0.7559999999999999,22070929.0,0.244,2000
Bedazzled,90383208.0,37886980.0,0.419,52496228.0,0.581,2000
Snatch,83557872.0,30328156.0,0.363,53229716.0,0.637,2000
Men of Honor,82343495.0,48818921.0,0.593,33524574.0,0.40700000000000003,2000
Finding Forrester,80049764.0,51804714.0,0.647,28245050.0,0.353,2000
The Road to El Dorado,76432727.0,50863742.0,0.665,25568985.0,0.335,2000
"Dude, Where's My Car?",73180723.0,46729800.0,0.639,26450923.0,0.361,2000
"O Brother, Where Art Thou?",71868327.0,45512588.0,0.633,26355739.0,0.36700000000000005,2000
Rules of Engagement,71732303.0,61335230.0,0.855,10397073.0,0.145,2000
Frequency,68106245.0,45010278.0,0.6609999999999999,23095967.0,0.33899999999999997,2000
Thirteen Days,66579890.0,34592089.0,0.52,31987801.0,0.48,2000
Proof of Life,62761005.0,32598931.0,0.519,30162074.0,0.48100000000000004,2000
Snow Day,62464731.0,60020107.0,0.961,2444624.0,0.039,2000
28 Days,62198945.0,37170488.0,0.598,25028457.0,0.402,2000
Taxi 2,60726164.0,626164.0,0.01,60100000.0,0.99,2000
Keeping the Faith,59945183.0,37047880.0,0.618,22897303.0,0.382,2000
Next Friday,59827328.0,57328603.0,0.958,2498725.0,0.042,2000
The Flintstones in Viva Rock Vegas,59468275.0,35268275.0,0.593,24200000.0,0.40700000000000003,2000
Little Nicky,58292295.0,39464775.0,0.677,18827520.0,0.32299999999999995,2000
Pay It Forward,55707411.0,33519628.0,0.602,22187783.0,0.39799999999999996,2000
Bounce,53425292.0,36805288.0,0.6890000000000001,16620004.0,0.311,2000
Pitch Black,53187659.0,39240659.0,0.738,13947000.0,0.262,2000
Hanging Up,51880044.0,36050230.0,0.695,15829814.0,0.305,2000
The Skulls,50802120.0,35046120.0,0.69,15756000.0,0.31,2000
The Replacements,50054511.0,44737059.0,0.894,5317452.0,0.106,2000
Book of Shadows: Blair Witch 2,47737094.0,26437094.0,0.5539999999999999,21300000.0,0.446,2000
Almost Famous,47383689.0,32534850.0,0.687,14848839.0,0.313,2000
The Watcher,47267829.0,28946615.0,0.612,18321214.0,0.38799999999999996,2000
High Fidelity,47126295.0,27287137.0,0.579,19839158.0,0.42100000000000004,2000
Dracula 2000,47053625.0,33022767.0,0.7020000000000001,14030858.0,0.298,2000
The Gift,44567606.0,12008642.0,0.26899999999999996,32558964.0,0.731,2000
Where the Heart Is,40863718.0,33772838.0,0.826,7090880.0,0.174,2000
Bless the Child,40443010.0,29381494.0,0.726,11061516.0,0.27399999999999997,2000
The Art of War,40400425.0,30208599.0,0.748,10191826.0,0.252,2000
Dancer in the Dark,40031879.0,4184036.0,0.105,35847843.0,0.895,2000
The Legend of Bagger Vance,39459427.0,30919168.0,0.784,8540259.0,0.21600000000000003,2000
Urban Legends: Final Cut,38574362.0,21468807.0,0.557,17105555.0,0.44299999999999995,2000
The Original Kings of Comedy,38182790.0,38182790.0,1.0,0.0,0.0,2000
Titan A.E.,36754634.0,22753426.0,0.619,14001208.0,0.381,2000
Return to Me,36609995.0,32722798.0,0.894,3887197.0,0.106,2000
My Dog Skip,35547761.0,34134641.0,0.96,1413120.0,0.04,2000
The Adventures of Rocky & Bullwinkle,35134820.0,26005820.0,0.74,9129000.0,0.26,2000
American Psycho,34266564.0,15070285.0,0.44,19196279.0,0.56,2000
Dungeons & Dragons,33978694.0,15391970.0,0.45299999999999996,18586724.0,0.547,2000
Red Planet,33463969.0,17480890.0,0.522,15983079.0,0.478,2000
Wonder Boys,33426588.0,19393557.0,0.58,14033031.0,0.42,2000
Reindeer Games,32168970.0,23368995.0,0.726,8799975.0,0.27399999999999997,2000
Lost Souls,31355910.0,16815253.0,0.536,14540657.0,0.46399999999999997,2000
Small Time Crooks,29934477.0,17266359.0,0.5770000000000001,12668118.0,0.423,2000
Battlefield Earth,29725663.0,21471685.0,0.722,8253978.0,0.278,2000
Nurse Betty,29360400.0,25170054.0,0.857,4190346.0,0.14300000000000002,2000
Boiler Room,28780255.0,16970581.0,0.59,11809674.0,0.41,2000
The Little Vampire,27965865.0,13572400.0,0.485,14393465.0,0.515,2000
Love & Basketball,27728118.0,27459615.0,0.99,268503.0,0.01,2000
Cirque du Soleil: Journey of Man,27538359.0,15627434.0,0.5670000000000001,11910925.0,0.433,2000
Center Stage,26385941.0,17200925.0,0.652,9185016.0,0.348,2000
Saving Grace,26330482.0,12178602.0,0.46299999999999997,14151880.0,0.537,2000
Boys and Girls,25850615.0,21799652.0,0.843,4050963.0,0.157,2000
Down to You,24419914.0,20069008.0,0.8220000000000001,4350906.0,0.17800000000000002,2000
The Next Best Thing,24362772.0,14990582.0,0.615,9372190.0,0.385,2000
Dr. T & the Women,22844291.0,13113041.0,0.574,9731250.0,0.426,2000
The Contender,22361811.0,17872723.0,0.799,4489088.0,0.201,2000
Michael Jordan to the Max,21268532.0,18650521.0,0.877,2618011.0,0.12300000000000001,2000
Best in Show,20789556.0,18715392.0,0.9,2074164.0,0.1,2000
Thomas and the Magic Railroad,19748009.0,15933506.0,0.807,3814503.0,0.193,2000
Get Carter,19412993.0,14967182.0,0.7709999999999999,4445811.0,0.22899999999999998,2000
The Ninth Gate,18661336.0,18661336.0,1.0,0.0,0.0,2000
Loser,18404706.0,15618626.0,0.8490000000000001,2786080.0,0.151,2000
All the Pretty Horses,18133495.0,15540353.0,0.857,2593142.0,0.14300000000000002,2000
Quills,17989227.0,7065332.0,0.39299999999999996,10923895.0,0.607,2000
CyberWorld,16653900.0,11253900.0,0.6759999999999999,5400000.0,0.324,2000
Digimon: The Movie,16643191.0,9631153.0,0.579,7012038.0,0.42100000000000004,2000
The Dish,16575074.0,2552992.0,0.154,14022082.0,0.846,2000
Italian for Beginners,16349568.0,4544753.0,0.278,11804815.0,0.722,2000
Drowning Mona,15906764.0,15506764.0,0.975,400000.0,0.025,2000
Highlander: Endgame,15843608.0,12811858.0,0.809,3031750.0,0.191,2000
Bait,15471969.0,15325127.0,0.991,146842.0,0.009000000000000001,2000
Supernova,14828081.0,14230455.0,0.96,597626.0,0.04,2000
Malena,14493284.0,3448233.0,0.23800000000000002,11045051.0,0.762,2000
I Dreamed of Africa,14400327.0,6651522.0,0.462,7748805.0,0.5379999999999999,2000
What Planet Are You From?,14145677.0,6291602.0,0.445,7854075.0,0.555,2000
The Ladies Man,13743212.0,13616610.0,0.991,126602.0,0.009000000000000001,2000
Solarmax,13400161.0,13400161.0,1.0,0.0,0.0,2000
The Crew,13105853.0,13023075.0,0.9940000000000001,82778.0,0.006,2000
The Way of the Gun,13069740.0,6055661.0,0.46299999999999997,7014079.0,0.537,2000
In the Mood for Love,12854953.0,2738980.0,0.213,10115973.0,0.787,2000
Gossip,12591270.0,5108820.0,0.406,7482450.0,0.594,2000
Ready to Rumble,12452362.0,12394327.0,0.995,58035.0,0.005,2000
Drunken Master II,11555430.0,11555430.0,1.0,0.0,0.0,2000
You Can Count on Me,11242521.0,9416804.0,0.838,1825717.0,0.162,2000
Shadow of the Vampire,11155214.0,8293784.0,0.743,2861430.0,0.257,2000
Lucky Numbers,10890222.0,10042516.0,0.922,847706.0,0.078,2000
Here on Earth,10873148.0,10522168.0,0.968,350980.0,0.032,2000
Pollock,10558970.0,8598593.0,0.8140000000000001,1960377.0,0.18600000000000003,2000
Anatomy,10501958.0,9660.0,0.0,10492298.0,0.9990000000000001,2000
The Virgin Suicides,10409377.0,4906229.0,0.47100000000000003,5503148.0,0.529,2000
Woman on Top,10194274.0,5020111.0,0.49200000000000005,5174163.0,0.508,2000
Godzilla 2000,10037390.0,10037390.0,1.0,0.0,0.0,2000
Whatever It Takes,9902115.0,8745680.0,0.883,1156435.0,0.11699999999999999,2000
3 Strikes,9832166.0,9832166.0,1.0,0.0,0.0,2000
Bread and Tulips,9719848.0,5318679.0,0.547,4401169.0,0.45299999999999996,2000
Ghost Dog: The Way of the Samurai,9380473.0,3308029.0,0.353,6072444.0,0.647,2000
State and Main,9206279.0,6944471.0,0.754,2261808.0,0.24600000000000002,2000
Before Night Falls,8527517.0,4242892.0,0.498,4284625.0,0.502,2000
Butterfly,7733894.0,2092682.0,0.271,5641212.0,0.7290000000000001,2000
Ants in the Pants,7625967.0,0.0,0.0,7625967.0,1.0,2000
Requiem for a Dream,7390108.0,3635482.0,0.49200000000000005,3754626.0,0.508,2000
Where the Money Is,7243669.0,5661798.0,0.782,1581871.0,0.218,2000
Screwed,7201701.0,7027345.0,0.976,174356.0,0.024,2000
Widow of St. Pierre,7193889.0,3193889.0,0.444,4000000.0,0.556,2000
Croupier,7075068.0,6201143.0,0.8759999999999999,873925.0,0.124,2000
Duets,6620242.0,4739023.0,0.716,1881219.0,0.284,2000
Now or Never,5995963.0,0.0,0.0,5995963.0,1.0,2000
Black & White,5541431.0,5277299.0,0.9520000000000001,264132.0,0.048,2000
The in Crowd,5280035.0,5280035.0,1.0,0.0,0.0,2000
The House of Mirth,5164404.0,3043284.0,0.589,2121120.0,0.41100000000000003,2000
Otto 0 Der Katastrofenfilm,5058355.0,0.0,0.0,5058355.0,1.0,2000
Whipped,4775009.0,4159986.0,0.871,615023.0,0.129,2000
Held Up,4705631.0,4705631.0,1.0,0.0,0.0,2000
The Jungle Book 2000 Re0release,4466472.0,0.0,0.0,4466472.0,1.0,2000
The Tao of Steve,4406030.0,4342203.0,0.986,63827.0,0.013999999999999999,2000
Mohabbatein,4279351.0,1070000.0,0.25,3209351.0,0.75,2000
East Is East,4177818.0,4177818.0,1.0,0.0,0.0,2000
Bossa Nova,4069261.0,1823297.0,0.44799999999999995,2245964.0,0.552,2000
Erkan & Stefan,4026949.0,0.0,0.0,4026949.0,1.0,2000
Pettson & Findus 0 Katten och gubbens år,3920489.0,0.0,0.0,3920489.0,1.0,2000
Up at the Villa,3740113.0,2933161.0,0.784,806952.0,0.21600000000000003,2000
The Big Kahuna,3728888.0,3165544.0,0.8490000000000001,563344.0,0.151,2000
Price of Glory,3548556.0,3440228.0,0.9690000000000001,108328.0,0.031,2000
Gun Shy,3221280.0,1638202.0,0.509,1583078.0,0.491,2000
Beautiful,3169930.0,3157348.0,0.996,12582.0,0.004,2000
Isn't She Great,3003296.0,2962465.0,0.986,40831.0,0.013999999999999999,2000
No More School,2870533.0,0.0,0.0,2870533.0,1.0,2000
Flickering Lights,2760019.0,0.0,0.0,2760019.0,1.0,2000
The Color of Paradise,2724595.0,1817216.0,0.667,907379.0,0.33299999999999996,2000
God's Army,2637726.0,2637726.0,1.0,0.0,0.0,2000
But I'm a Cheerleader,2595216.0,2205627.0,0.85,389589.0,0.15,2000
Bamboozled,2463650.0,2274979.0,0.9229999999999999,188671.0,0.077,2000
East/West,2321029.0,2321029.0,1.0,0.0,0.0,2000
Shower,2150929.0,1157764.0,0.5379999999999999,993165.0,0.462,2000
Left Luggage,2111280.0,1069540.0,0.507,1041740.0,0.493,2000
Blood Simple 2000 Re0release,2068701.0,1701855.0,0.823,366846.0,0.177,2000
Marlene,2061924.0,0.0,0.0,2061924.0,1.0,2000
Hamlet,2046433.0,1577287.0,0.7709999999999999,469146.0,0.22899999999999998,2000
The Broken Hearts Club: A Romantic Comedy,2019121.0,1746585.0,0.865,272536.0,0.135,2000
Cecil B. Demented,1961544.0,1284646.0,0.655,676898.0,0.345,2000
The Life and Times of Hank Greenberg,1712385.0,1712385.0,1.0,0.0,0.0,2000
The Girl on the Bridge,1708839.0,1708839.0,1.0,0.0,0.0,2000
Harry Potter and the Sorcerer's Stone,974755371.0,317575550.0,0.326,657179821.0,0.674,2001
The Lord of the Rings: The Fellowship of the Ring,868385360.0,313364114.0,0.361,555021246.0,0.639,2001
"Monsters, Inc.",528773250.0,255873250.0,0.484,272900000.0,0.516,2001
Shrek,484596038.0,267851831.0,0.5529999999999999,216744207.0,0.447,2001
Ocean's Eleven,450717150.0,183417150.0,0.40700000000000003,267300000.0,0.593,2001
Pearl Harbor,449220945.0,198542554.0,0.442,250678391.0,0.5579999999999999,2001
The Mummy Returns,433013274.0,202019785.0,0.467,230993489.0,0.5329999999999999,2001
Jurassic Park III,368780809.0,181171875.0,0.491,187608934.0,0.509,2001
Planet of the Apes,362211740.0,180011740.0,0.49700000000000005,182200000.0,0.503,2001
Hannibal,351692268.0,165092268.0,0.469,186600000.0,0.531,2001
Rush Hour 2,347325802.0,226164286.0,0.6509999999999999,121161516.0,0.349,2001
A Beautiful Mind,313542341.0,170742341.0,0.545,142800000.0,0.455,2001
American Pie 2,287553595.0,145103595.0,0.505,142450000.0,0.495,2001
Bridget Jones's Diary,281929795.0,71543427.0,0.254,210386368.0,0.746,2001
Spirited Away,274925095.0,10055859.0,0.037000000000000005,264869236.0,0.963,2001
Lara Croft: Tomb Raider,274703340.0,131168070.0,0.47700000000000004,143535270.0,0.523,2001
A.I. Artificial Intelligence,235926552.0,78616689.0,0.33299999999999996,157309863.0,0.667,2001
The Others,209947037.0,96522687.0,0.46,113424350.0,0.54,2001
The Fast and the Furious,207283925.0,144533925.0,0.6970000000000001,62750000.0,0.303,2001
Vanilla Sky,203388341.0,100618344.0,0.495,102769997.0,0.505,2001
Cats & Dogs,200687492.0,93385515.0,0.465,107301977.0,0.535,2001
Atlantis: The Lost Empire,186053725.0,84056472.0,0.452,101997253.0,0.5479999999999999,2001
Moulin Rouge!,179213434.0,57386607.0,0.32,121826827.0,0.68,2001
Dr. Dolittle 2,176104344.0,112952899.0,0.6409999999999999,63151445.0,0.359,2001
Amélie,173921954.0,33225499.0,0.191,140696455.0,0.809,2001
Black Hawk Down,172989651.0,108638745.0,0.628,64350906.0,0.37200000000000005,2001
The Princess Diaries,165335153.0,108248956.0,0.655,57086197.0,0.345,2001
Spy Kids,147934180.0,112719001.0,0.762,35215179.0,0.23800000000000002,2001
The Mexican,147845033.0,66845033.0,0.452,81000000.0,0.5479999999999999,2001
Swordfish,147080413.0,69772969.0,0.474,77307444.0,0.526,2001
Spy Game,143049560.0,62362560.0,0.436,80687000.0,0.564,2001
Legally Blonde,141774679.0,96520674.0,0.6809999999999999,45254005.0,0.319,2001
Scary Movie 2,141220678.0,71308997.0,0.505,69911681.0,0.495,2001
Shallow Hal,141069860.0,70839203.0,0.502,70230657.0,0.498,2001
America's Sweethearts,138307673.0,93607673.0,0.677,44700000.0,0.32299999999999995,2001
Save the Last Dance,131706809.0,91057006.0,0.691,40649803.0,0.309,2001
A Knight's Tale,117487473.0,56569702.0,0.48100000000000004,60917771.0,0.519,2001
The Score,113579918.0,71107711.0,0.626,42472207.0,0.374,2001
Along Came a Spider,105178561.0,74078174.0,0.7040000000000001,31100387.0,0.29600000000000004,2001
Training Day,104876233.0,76631907.0,0.731,28244326.0,0.26899999999999996,2001
Jimmy Neutron: Boy Genius,102992536.0,80936232.0,0.7859999999999999,22056304.0,0.214,2001
Don't Say a Word,100020092.0,55001642.0,0.55,45018450.0,0.45,2001
Evolution,98376292.0,38345494.0,0.39,60030798.0,0.61,2001
I Am Sam,97818139.0,40311852.0,0.41200000000000003,57506287.0,0.588,2001
Enemy at the Gates,96976270.0,51401758.0,0.53,45574512.0,0.47,2001
The Wedding Planner,94728529.0,60400856.0,0.638,34327673.0,0.36200000000000004,2001
Behind Enemy Lines,91753202.0,58856790.0,0.6409999999999999,32896412.0,0.359,2001
Gosford Park,87754044.0,41308615.0,0.47100000000000003,46445429.0,0.529,2001
Ali,87713825.0,58203105.0,0.664,29510720.0,0.336,2001
Rat Race,85498534.0,56618055.0,0.662,28880479.0,0.33799999999999997,2001
Final Fantasy: The Spirits Within,85131830.0,32131830.0,0.377,53000000.0,0.623,2001
The Animal,84772742.0,57743062.0,0.6809999999999999,27029680.0,0.319,2001
Blow,83282296.0,52990775.0,0.636,30291521.0,0.364,2001
Exit Wounds,79958599.0,51758599.0,0.647,28200000.0,0.353,2001
Serendipity,77516304.0,50294317.0,0.649,27221987.0,0.35100000000000003,2001
Kate & Leopold,76019048.0,47121859.0,0.62,28897189.0,0.38,2001
Manitou's Shoe,75482094.0,0.0,0.0,75482094.0,1.0,2001
From Hell,74558115.0,31602566.0,0.424,42955549.0,0.5760000000000001,2001
The One,72689126.0,43905746.0,0.604,28783380.0,0.396,2001
The Royal Tenenbaums,71441250.0,52364010.0,0.733,19077240.0,0.267,2001
Down to Earth,71186502.0,64186502.0,0.902,7000000.0,0.098,2001
Brotherhood of the Wolf,70752904.0,11260096.0,0.159,59492808.0,0.841,2001
Thir13en Ghosts,68467960.0,41867960.0,0.611,26600000.0,0.389,2001
Pokémon 3 the Movie: Spell of the Unown,68411275.0,17052128.0,0.249,51359147.0,0.7509999999999999,2001
Bandits,67631903.0,41575141.0,0.615,26056762.0,0.385,2001
Not Another Teen Movie,66468332.0,38252284.0,0.575,28216048.0,0.425,2001
Sweet November,65754228.0,25288103.0,0.385,40466125.0,0.615,2001
K0PAX,65001485.0,50338485.0,0.774,14663000.0,0.226,2001
Kiss of the Dragon,64437847.0,36845124.0,0.5720000000000001,27592723.0,0.428,2001
Captain Corelli's Mandolin,62112895.0,25543895.0,0.41100000000000003,36569000.0,0.589,2001
Zoolander,60780981.0,45172250.0,0.743,15608731.0,0.257,2001
The Crimson Rivers,60094966.0,594966.0,0.01,59500000.0,0.99,2001
Jeepers Creepers,59217789.0,37904175.0,0.64,21313614.0,0.36,2001
Heartbreakers,57756408.0,40336607.0,0.698,17419801.0,0.302,2001
15 Minutes,56359980.0,24403552.0,0.433,31956428.0,0.5670000000000001,2001
Driven,54744738.0,32720065.0,0.598,22024673.0,0.402,2001
Domestic Disturbance,54249294.0,45246095.0,0.8340000000000001,9003199.0,0.166,2001
The Closet,50104745.0,6678894.0,0.133,43425851.0,0.867,2001
Monster's Ball,44909486.0,31273922.0,0.696,13635564.0,0.304,2001
Recess: School's Out,44460850.0,36706141.0,0.826,7754709.0,0.174,2001
Hardball,44102389.0,40222729.0,0.912,3879660.0,0.08800000000000001,2001
In the Bedroom,43368779.0,35930604.0,0.828,7438175.0,0.172,2001
See Spot Run,43057552.0,33357476.0,0.775,9700076.0,0.225,2001
Shaolin Soccer,42776760.0,489600.0,0.011000000000000001,42287160.0,0.9890000000000001,2001
Black Knight,39976235.0,33426971.0,0.836,6549264.0,0.16399999999999998,2001
Memento,39723096.0,25544867.0,0.643,14178229.0,0.35700000000000004,2001
Crocodile Dundee in Los Angeles,39438674.0,25635682.0,0.65,13802992.0,0.35,2001
Haunted Castle,39093166.0,13651656.0,0.349,25441510.0,0.6509999999999999,2001
Someone Like You,38689940.0,27343067.0,0.7070000000000001,11346873.0,0.293,2001
What's the Worst That Could Happen?,38464131.0,32269834.0,0.8390000000000001,6194297.0,0.161,2001
The Majestic,37317558.0,27807266.0,0.745,9510292.0,0.255,2001
Valentine,36684136.0,20384136.0,0.556,16300000.0,0.444,2001
Joy Ride,36642838.0,21974919.0,0.6,14667919.0,0.4,2001
Riding in Cars with Boys,35743308.0,30165536.0,0.8440000000000001,5577772.0,0.156,2001
Original Sin,35402320.0,16534221.0,0.467,18868099.0,0.5329999999999999,2001
Jay and Silent Bob Strike Back,33788161.0,30085147.0,0.89,3703014.0,0.11,2001
And Your Mother Too,33616692.0,13839658.0,0.41200000000000003,19777034.0,0.588,2001
The Musketeer,32533802.0,27073640.0,0.8320000000000001,5460162.0,0.168,2001
Double Take,31603059.0,29831583.0,0.9440000000000001,1771476.0,0.055999999999999994,2001
How High,31283740.0,31178740.0,0.997,105000.0,0.003,2001
Beauty and the Beast 2000 IMAX Release,31033346.0,25487190.0,0.821,5546156.0,0.179,2001
Joe Dirt,30987695.0,27087695.0,0.8740000000000001,3900000.0,0.126,2001
Hearts in Atlantis,30919415.0,24185781.0,0.782,6733634.0,0.218,2001
Monsoon Wedding,30787356.0,13885966.0,0.451,16901390.0,0.5489999999999999,2001
Angel Eyes,29715606.0,24174218.0,0.8140000000000001,5541388.0,0.18600000000000003,2001
The Pledge,29419291.0,19733089.0,0.6709999999999999,9686202.0,0.32899999999999996,2001
Baby Boy,29381649.0,28734552.0,0.978,647097.0,0.022000000000000002,2001
Heist,28510652.0,23510841.0,0.825,4999811.0,0.175,2001
The Tailor of Panama,28008462.0,13729742.0,0.49,14278720.0,0.51,2001
The Brothers,27958191.0,27457409.0,0.982,500782.0,0.018000000000000002,2001
The Last Castle,27642707.0,18244060.0,0.66,9398647.0,0.34,2001
Saving Silverman,26086706.0,19402030.0,0.7440000000000001,6684676.0,0.256,2001
Corky Romano,25272752.0,23980304.0,0.9490000000000001,1292448.0,0.051,2001
The Shipping News,24690441.0,11434216.0,0.46299999999999997,13256225.0,0.537,2001
Joe Somebody,24516772.0,22771646.0,0.929,1745126.0,0.071,2001
Nowhere in Africa,24322180.0,6180200.0,0.254,18141980.0,0.746,2001
Tanguy,24272365.0,0.0,0.0,24272365.0,1.0,2001
Life as a House,23903791.0,15667270.0,0.655,8236521.0,0.345,2001
The Glass House,23619609.0,18150259.0,0.768,5469350.0,0.23199999999999998,2001
Tomcats,23430766.0,13558739.0,0.579,9872027.0,0.42100000000000004,2001
Kingdom Come,23396049.0,23249649.0,0.9940000000000001,146400.0,0.006,2001
Two Can Play That Game,22391450.0,22235901.0,0.993,155549.0,0.006999999999999999,2001
Winged Migration,21493351.0,924651.0,0.043,20568700.0,0.9570000000000001,2001
Amores Perros,20908467.0,5408467.0,0.259,15500000.0,0.741,2001
Mulholland Drive,20117339.0,7220243.0,0.359,12897096.0,0.6409999999999999,2001
Himalaya 2001 Re0release,19960881.0,2487878.0,0.125,17473003.0,0.875,2001
Crazy/Beautiful,19937988.0,16937988.0,0.85,3000000.0,0.15,2001
Get Over It,19900366.0,11576464.0,0.5820000000000001,8323902.0,0.418,2001
Summer Catch,19772447.0,19753553.0,0.9990000000000001,18894.0,0.0,2001
Shackleton's Antarctic Adventure,19613216.0,15553324.0,0.7929999999999999,4059892.0,0.207,2001
Rock Star,19334145.0,17008282.0,0.88,2325863.0,0.12,2001
O,19260537.0,16025437.0,0.8320000000000001,3235100.0,0.168,2001
The Man Who Wasn't There,18916623.0,7504257.0,0.397,11412366.0,0.603,2001
The Curse of the Jade Scorpion,18914307.0,7517191.0,0.397,11397116.0,0.603,2001
3000 Miles to Graceland,18720175.0,15749959.0,0.841,2970216.0,0.159,2001
Max Keeble's Big Move,18634654.0,17294293.0,0.9279999999999999,1340361.0,0.07200000000000001,2001
"Godzilla, Mothra and King Ghidorah: Giant Monsters All0Out Attack",18623382.0,0.0,0.0,18623382.0,1.0,2001
Antitrust,18195610.0,11328094.0,0.623,6867516.0,0.377,2001
Jason X,16951798.0,13121555.0,0.774,3830243.0,0.226,2001
Sugar & Spice,16908947.0,13305101.0,0.787,3603846.0,0.213,2001
Just Visiting,16176732.0,4781539.0,0.29600000000000004,11395193.0,0.7040000000000001,2001
Iris,16153953.0,5594617.0,0.34600000000000003,10559336.0,0.654,2001
Lantana,15747450.0,4623189.0,0.294,11124261.0,0.706,2001
Enigma 2001 Re0release,15705007.0,4301582.0,0.27399999999999997,11403425.0,0.726,2001
With a Friend Like Harry...,15472186.0,3830441.0,0.248,11641745.0,0.752,2001
Brother,15250594.0,450594.0,0.03,14800000.0,0.97,2001
Josie and the Pussycats,14866015.0,14271015.0,0.96,595000.0,0.04,2001
Out Cold,14782676.0,13906394.0,0.941,876282.0,0.059000000000000004,2001
Iron Monkey,14694904.0,14694904.0,1.0,0.0,0.0,2001
Together,14572229.0,1034829.0,0.071,13537400.0,0.929,2001
Freddy Got Fingered,14333252.0,14254993.0,0.995,78259.0,0.005,2001
Osmosis Jones,14026418.0,13596911.0,0.9690000000000001,429507.0,0.031,2001
